period,buyer,price
Average Price Paid,Average Buyer,79957
Basketball,LaMelo Ball,4156
Basketball,LaMelo Ball,10827
Football,Tom Brady,458977
Basketball,Stephen Curry,178569
Soccer,Memphis Depay,249463
Soccer,Neymar,612300
Soccer,Neymar,516455
Football,Ben Simmons,254503
Tennis,Serena Williams,445813
Music,Justin Bieber,1312981
Music,The Chainsmokers,206014
Music,Diplo,255028
Music,Eminem,461208
Music,Future,19529
Music,Gunna,316943
Comedy,Jimmy Fallon,437847
Comedy,Kevin Hart,247127
Youtube,KSI,29326
Youtube,KSI,534931
Youtube,Logan Paul,111370